State,District,Crop,Seed_Variety,Rainfall_mm,Temperature_C,Soil_pH,Soil_Moisture,Humidity,Irrigation_Count,Previous_Yield_kg_ha,Area_Hectares,Yield_kg_ha
Telangana,Nalgonda,Sugarcane,Co-0238 (UP/North India),1202.3454926716586,29.382860012921984,8.14,23.8,54,4,2569,4.62,81385.29
Maharashtra,Nashik,Wheat,PBW-343 (Punjab/Haryana),868.9669027795851,30.091192862817085,6.23,20.3,67,1,6942,3.07,3652.65
Punjab,Amritsar,Maize,NK-6240 (Maharashtra/AP),957.7384307362832,24.668720880133737,7.13,31.7,51,2,3341,4.4,4257.57
Uttar Pradesh,Lucknow,Cotton,RCH-659 (South & Central India),905.9829536164592,30.55169896084337,7.36,28.8,61,1,4274,3.52,1575.07
Telangana,Karimnagar,Wheat,PBW-343 (Punjab/Haryana),671.6468656693962,25.90738389104352,6.25,9.2,74,3,1504,2.56,3256.38
Maharashtra,Nashik,Cotton,Bollgard-II (Maharashtra),802.149546979542,29.033079090975864,7.5,12.4,56,5,4338,2.43,1421.65
Uttar Pradesh,Varanasi,Rice,IR-64 (Andhra/Telangana),807.8875027283258,28.050206492839774,6.43,15.7,86,4,3794,0.71,4984.32
Andhra Pradesh,Nellore,Sugarcane,Co-0238 (UP/North India),,28.30139651280653,,,59,4,3570,0.72,80009.18
Andhra Pradesh,Krishna,Cotton,RCH-659 (South & Central India),900.453402798669,30.145773486270784,7.66,27.7,71,0,5500,4.15,1795.37
Punjab,Amritsar,Sugarcane,Co-0238 (UP/North India),1011.5723370004796,31.47684810991742,6.8,14.6,60,6,4396,3.45,80859.88
Uttar Pradesh,Agra,Wheat,PBW-343 (Punjab/Haryana),1288.7306691591505,24.065798826668576,5.76,23.9,69,4,4004,3.06,4436.13
Telangana,Karimnagar,Cotton,RCH-659 (South & Central India),1302.7050773481255,29.347861494592657,6.28,26.6,72,2,6468,2.2,1989.67
Punjab,Jalandhar,Cotton,JKCH-1947 (Gujarat/MH),818.5067147546279,38.88894794130663,5.57,11.2,66,1,6986,0.87,718.86
Punjab,Amritsar,Wheat,HD-2967 (North-West India),,24.683421602235764,,,68,6,2453,3.28,4715.71
Maharashtra,Pune,Rice,IR-64 (Andhra/Telangana),791.6741482743599,28.213379546346136,6.84,10.6,57,5,3714,2.41,5042.65
Telangana,Karimnagar,Sugarcane,Co-94012 (South India),824.418939480923,27.484030098533964,6.09,11.8,70,6,3031,1.79,81128.86
Andhra Pradesh,Chittoor,Sugarcane,Co-94012 (South India),814.199690842208,29.101867590500937,6.54,39.8,65,5,6762,2.55,80702.71
Maharashtra,Nashik,Cotton,Bollgard-II (Maharashtra),,33.85630726585335,,,43,3,6464,4.88,2006.66
Uttar Pradesh,Lucknow,Cotton,JKCH-1947 (Gujarat/MH),421.8233707339453,28.76866760581856,6.84,13.2,76,0,6448,3.87,773.46
Uttar Pradesh,Varanasi,Rice,Sona-Masoori (South India),1188.3829680019671,26.18746280070565,6.08,9.2,81,6,5136,4.75,5905.71
Maharashtra,Nagpur,Sugarcane,Co-86032 (Tamil Nadu/AP),787.4836321301891,29.679974763216244,5.86,38.5,75,7,3074,3.52,80677.38
Uttar Pradesh,Varanasi,Cotton,Bollgard-II (Maharashtra),1287.787993880631,27.904861220025005,7.21,25.7,54,6,2752,3.29,2248.6
Karnataka,Bengaluru Rural,Maize,NK-6240 (Maharashtra/AP),658.7691348549739,29.90118010999453,7.14,20.6,67,3,6137,3.3,2978.22
Karnataka,Mysuru,Wheat,PBW-343 (Punjab/Haryana),474.1543901612113,27.305583053861834,6.73,23.8,63,6,4945,3.64,3020.0
Telangana,Nalgonda,Cotton,JKCH-1947 (Gujarat/MH),1040.05642774268,24.30755110186676,7.1,24.5,71,1,5400,0.64,1384.87
Maharashtra,Pune,Rice,Sona-Masoori (South India),1320.7316160932342,35.83572878077783,6.97,12.1,64,7,5702,4.64,5338.64
Punjab,Amritsar,Rice,IR-64 (Andhra/Telangana),871.9179875772926,26.72660640163372,6.87,13.9,88,7,1864,0.78,5045.95
Karnataka,Bengaluru Rural,Rice,MTU-1010 (AP/Telangana),1116.7122658355356,29.148628909963072,6.29,20.7,67,5,1625,1.04,5363.68
Maharashtra,Pune,Cotton,Bollgard-II (Maharashtra),954.555683132774,30.686974428298782,7.13,24.0,80,2,3972,2.02,1807.44
Telangana,Khammam,Cotton,Bollgard-II (Maharashtra),956.4993185235074,30.439116032642,6.49,18.6,76,5,5235,4.54,1167.65
Punjab,Jalandhar,Wheat,HD-2967 (North-West India),912.1304069862068,24.59167459256137,6.66,11.6,67,7,6542,4.19,3969.92
Uttar Pradesh,Kanpur,Maize,Kaveri-50 (South India),971.495041547071,33.7408949238127,7.25,14.6,83,5,3328,2.78,4574.73
Uttar Pradesh,Varanasi,Sugarcane,Co-94012 (South India),850.5092578246712,29.168898330134382,5.46,22.5,71,6,3876,3.92,80147.79
Maharashtra,Pune,Wheat,HW-2045 (North India),719.1652293871915,36.018468274408455,5.44,37.7,65,7,6968,1.13,3142.7
Andhra Pradesh,Nellore,Rice,MTU-1010 (AP/Telangana),751.3709868189377,29.559149814612248,6.31,34.1,73,7,3363,2.48,4527.98
Karnataka,Mysuru,Cotton,Bollgard-II (Maharashtra),730.8967448789904,19.69384532330939,7.13,24.1,73,2,4610,1.03,241.15
Andhra Pradesh,Guntur,Rice,IR-64 (Andhra/Telangana),941.2985950301444,29.491278360643747,5.98,33.4,66,0,4568,1.62,4593.5
Andhra Pradesh,Guntur,Maize,HQPM-1 (Karnataka/AP),1277.4428281149058,28.907120680164223,6.29,34.3,60,3,5256,3.74,5272.72
Karnataka,Mysuru,Maize,NK-6240 (Maharashtra/AP),1246.4758303227748,31.030110324470925,5.52,19.1,71,4,4505,0.95,4876.77
Maharashtra,Nagpur,Cotton,Bollgard-II (Maharashtra),1116.9622591657956,24.22220093876142,5.97,37.4,58,5,4867,4.28,1793.99
Uttar Pradesh,Agra,Wheat,PBW-343 (Punjab/Haryana),743.1452789056307,25.766137649740635,6.75,18.6,49,1,5007,4.05,3916.24
Maharashtra,Nagpur,Rice,IR-64 (Andhra/Telangana),671.1896550009087,28.36136288801564,7.13,37.5,66,2,6798,1.62,4347.95
Uttar Pradesh,Agra,Maize,Kaveri-50 (South India),601.4323932885618,28.470135527755613,6.07,15.0,64,5,6682,4.99,4242.19
Maharashtra,Aurangabad,Rice,MTU-1010 (AP/Telangana),1543.339950812465,27.70726451905071,6.51,14.7,90,5,6990,2.54,5767.19
Uttar Pradesh,Lucknow,Rice,Sona-Masoori (South India),237.257547901747,31.32027398172861,7.25,13.0,63,5,4951,4.1,3156.83
Uttar Pradesh,Varanasi,Rice,IR-64 (Andhra/Telangana),835.795743018567,31.085003036227867,5.53,14.3,73,3,4554,3.74,4332.13
Telangana,Karimnagar,Cotton,JKCH-1947 (Gujarat/MH),1212.4513298528038,28.971136055145823,6.33,18.4,71,2,2808,2.4,1882.38
Telangana,Khammam,Wheat,PBW-343 (Punjab/Haryana),589.6246922627195,24.64293106830804,7.29,16.6,44,3,5077,3.94,3232.33
Maharashtra,Nagpur,Rice,Sona-Masoori (South India),1142.955672543184,27.391646122771995,6.3,8.7,51,2,4041,4.93,5683.47
Karnataka,Bengaluru Rural,Rice,MTU-1010 (AP/Telangana),,27.852860977889183,,,67,0,1954,3.08,4592.94
Karnataka,Bengaluru Rural,Rice,IR-64 (Andhra/Telangana),819.1836776759859,31.50073066011472,6.25,19.3,73,7,2750,4.77,5151.95
Telangana,Khammam,Sugarcane,Co-0238 (UP/North India),1029.9680565874958,27.08586802061653,6.47,16.6,67,2,1981,3.3,80707.03
Telangana,Khammam,Rice,IR-64 (Andhra/Telangana),370.1606579903395,26.27197142559261,5.87,30.6,74,0,1829,3.61,3371.58
Maharashtra,Pune,Sugarcane,Co-0238 (UP/North India),682.848202683599,27.656684034832164,7.27,31.2,67,0,1546,0.7,80305.2
Maharashtra,Nashik,Sugarcane,Co-94012 (South India),587.2509172545383,36.62092113435831,6.06,31.4,78,3,2434,2.55,79303.62
Uttar Pradesh,Agra,Wheat,HW-2045 (North India),1447.766501389929,28.69023670683831,5.74,25.9,39,6,5459,2.93,5757.47
Punjab,Amritsar,Rice,MTU-1010 (AP/Telangana),737.3537896107858,31.15241068250294,7.02,27.7,59,0,1771,4.43,4754.89
Uttar Pradesh,Lucknow,Maize,HQPM-1 (Karnataka/AP),479.54491871669273,21.34490350002049,5.98,11.5,54,0,4132,0.99,2842.0
Andhra Pradesh,Chittoor,Cotton,RCH-659 (South & Central India),661.6352072570246,26.53706604778524,6.84,39.4,64,4,6929,3.23,832.42
Telangana,Nalgonda,Cotton,Bollgard-II (Maharashtra),507.50991558566426,27.758870374257487,6.19,14.0,79,7,1502,4.17,858.85
Telangana,Nalgonda,Cotton,Bollgard-II (Maharashtra),723.6973159175548,25.03732977975744,7.91,26.6,67,4,2918,0.89,1582.6
Uttar Pradesh,Kanpur,Sugarcane,Co-86032 (Tamil Nadu/AP),462.8632537606184,23.099308948499043,7.03,23.9,64,4,3662,4.21,79552.21
Karnataka,Mysuru,Cotton,RCH-659 (South & Central India),1230.9687009468034,23.538643502535564,5.52,36.1,73,1,5951,3.28,2355.05
Andhra Pradesh,Guntur,Sugarcane,Co-94012 (South India),,29.181967375937617,,,65,7,4617,1.97,80207.84
Karnataka,Dharwad,Maize,HQPM-1 (Karnataka/AP),652.2049225974876,28.04042546936592,6.37,17.1,61,4,6584,4.05,4179.61
Uttar Pradesh,Varanasi,Wheat,PBW-343 (Punjab/Haryana),1029.6599119033915,25.31352646893264,6.95,23.2,76,4,2406,4.2,4799.62
Maharashtra,Nagpur,Maize,Kaveri-50 (South India),1184.15119292614,25.90061436747901,6.43,38.2,73,3,4593,1.09,4675.92
Punjab,Ludhiana,Rice,Sona-Masoori (South India),438.3068913821496,25.51665705621463,7.2,31.9,70,2,3107,1.22,4189.7
Karnataka,Bengaluru Rural,Rice,MTU-1010 (AP/Telangana),,23.346754689222333,,,81,0,2516,1.22,4837.32
Telangana,Warangal,Wheat,PBW-343 (Punjab/Haryana),568.3863013866338,31.5410449865078,5.63,39.5,55,5,3067,3.46,4297.36
Andhra Pradesh,Krishna,Maize,Kaveri-50 (South India),964.4992480300166,29.14190848423372,6.13,11.3,50,7,5837,1.97,4672.99
Telangana,Khammam,Cotton,RCH-659 (South & Central India),680.9203330064547,27.631810816087786,6.34,10.5,82,1,1605,1.25,1427.5
Punjab,Ludhiana,Cotton,JKCH-1947 (Gujarat/MH),968.8776405870632,24.70509139537836,7.59,35.9,75,3,1707,2.96,1347.44
Uttar Pradesh,Lucknow,Wheat,PBW-343 (Punjab/Haryana),850.5117183579174,32.11047379355915,6.74,31.4,61,3,6280,1.32,4415.75
Andhra Pradesh,Guntur,Cotton,Bollgard-II (Maharashtra),1054.6716369619764,31.452635531388253,8.28,31.0,71,6,6826,1.66,1370.87
Punjab,Patiala,Cotton,Bollgard-II (Maharashtra),1172.761525541167,27.112432998217564,7.06,21.6,67,4,5311,4.43,2679.27
Uttar Pradesh,Varanasi,Wheat,HD-2967 (North-West India),856.8431750147951,30.59280978120336,6.89,37.2,78,7,3647,4.59,3638.15
Uttar Pradesh,Varanasi,Cotton,JKCH-1947 (Gujarat/MH),762.423711538645,25.14931821221682,6.48,15.9,42,5,4716,2.26,1703.87
Punjab,Ludhiana,Rice,MTU-1010 (AP/Telangana),576.3296310697735,31.562893755824817,6.22,39.0,44,0,3860,1.25,4249.77
Maharashtra,Nashik,Rice,IR-64 (Andhra/Telangana),1111.769752496259,31.77875320210408,7.23,33.8,62,1,2468,2.89,4865.7
Punjab,Amritsar,Maize,HQPM-1 (Karnataka/AP),867.2710068075627,23.87765797413753,6.39,24.2,74,3,6913,1.13,3408.55
Uttar Pradesh,Agra,Cotton,RCH-659 (South & Central India),665.3830224485379,29.75493855828256,6.67,22.2,73,1,4985,2.74,1198.72
Maharashtra,Pune,Rice,IR-64 (Andhra/Telangana),1140.7413822785325,28.57667264407868,6.23,37.8,71,4,3908,0.98,5041.75
Uttar Pradesh,Kanpur,Cotton,Bollgard-II (Maharashtra),1151.2856433195043,26.616669847874427,6.7,31.6,76,1,2500,1.93,2074.12
Punjab,Amritsar,Sugarcane,Co-86032 (Tamil Nadu/AP),,30.818618888768054,,,44,0,5900,2.96,80049.71
Andhra Pradesh,Nellore,Maize,HQPM-1 (Karnataka/AP),824.2420897504927,27.378538379895385,5.79,28.6,71,3,2677,0.99,4543.93
Punjab,Amritsar,Wheat,HD-2967 (North-West India),922.402039981902,23.3651210584542,6.41,20.6,66,2,2514,4.54,4115.29
Andhra Pradesh,Nellore,Cotton,JKCH-1947 (Gujarat/MH),603.3257205780167,32.85756337388298,6.44,14.2,85,3,1605,3.25,797.21
Karnataka,Mysuru,Wheat,HW-2045 (North India),652.5929658574156,30.792699157958754,5.91,13.8,83,1,1944,1.65,3010.24
Telangana,Khammam,Rice,IR-64 (Andhra/Telangana),895.0905502683297,29.433714840460016,6.63,9.4,77,0,4597,1.45,5270.69
Uttar Pradesh,Varanasi,Sugarcane,Co-94012 (South India),,33.62351860115429,,,83,3,4540,2.41,78852.06
Uttar Pradesh,Kanpur,Maize,HQPM-1 (Karnataka/AP),788.2133844040218,25.44880014345281,6.45,25.1,57,0,4137,3.34,4059.97
Uttar Pradesh,Lucknow,Sugarcane,Co-86032 (Tamil Nadu/AP),1066.74510085954,22.07664055647521,6.13,22.3,48,4,6601,1.69,81449.04
Maharashtra,Nagpur,Wheat,PBW-343 (Punjab/Haryana),1182.6758271536253,33.50495642038036,5.49,19.0,69,7,4323,4.46,4229.73
Punjab,Patiala,Wheat,HW-2045 (North India),1015.6565838452756,34.91249582369061,5.8,29.4,57,3,3368,3.36,3574.96
Andhra Pradesh,Krishna,Sugarcane,Co-0238 (UP/North India),731.0034317564007,29.329722826630626,5.57,34.3,55,5,3040,3.82,79902.87
Punjab,Ludhiana,Maize,Kaveri-50 (South India),711.6754439153606,30.2626046414911,6.11,16.2,66,4,5225,1.03,4604.94
Uttar Pradesh,Agra,Cotton,JKCH-1947 (Gujarat/MH),729.4914042001714,23.389285411274017,5.58,15.6,66,5,2942,4.04,1121.57
Andhra Pradesh,Guntur,Maize,HQPM-1 (Karnataka/AP),1322.422603339681,34.125627448690814,6.52,20.7,68,2,5419,1.45,5125.15
Karnataka,Dharwad,Rice,IR-64 (Andhra/Telangana),763.4349572422757,30.93374028786146,6.93,26.4,54,5,4446,4.79,4914.7
Karnataka,Belagavi,Maize,NK-6240 (Maharashtra/AP),1027.5697526330175,30.99234451392409,6.46,24.2,60,6,2345,4.44,4598.03
Punjab,Jalandhar,Cotton,RCH-659 (South & Central India),1081.441705790758,25.89365089961399,5.51,20.4,64,6,6675,1.84,2015.48
Andhra Pradesh,Chittoor,Cotton,Bollgard-II (Maharashtra),592.3061135584798,26.588808282473835,6.04,30.1,57,4,2319,3.45,556.07
Punjab,Ludhiana,Sugarcane,Co-86032 (Tamil Nadu/AP),1017.6506501937612,30.05539674778408,6.24,28.9,51,4,6105,1.62,80789.08
Karnataka,Mysuru,Maize,Kaveri-50 (South India),841.8320228700004,23.8373272008145,6.73,29.8,74,4,3885,0.79,4387.4
Andhra Pradesh,Nellore,Cotton,JKCH-1947 (Gujarat/MH),869.4132743397237,25.97695190750837,6.99,24.0,72,4,2959,4.37,1076.19
Uttar Pradesh,Lucknow,Maize,NK-6240 (Maharashtra/AP),1023.6489370802748,27.09169976558705,6.78,33.9,64,3,2214,2.73,4893.7
Punjab,Jalandhar,Maize,Kaveri-50 (South India),662.8195442697187,19.933540883865792,6.72,22.4,72,2,4211,0.66,4006.64
Uttar Pradesh,Varanasi,Cotton,Bollgard-II (Maharashtra),291.52443586299137,28.1501862223037,6.64,39.1,77,1,3073,0.87,131.06
Telangana,Khammam,Sugarcane,Co-94012 (South India),1137.1270509291676,27.62198506737118,6.09,39.2,74,3,2151,2.63,80953.3
Uttar Pradesh,Kanpur,Cotton,RCH-659 (South & Central India),890.805923576138,23.94675308899175,6.52,27.7,62,1,5197,4.74,1305.25
Punjab,Jalandhar,Cotton,Bollgard-II (Maharashtra),779.0472171147259,26.33990295796377,6.63,28.7,63,4,1801,3.78,1572.86
Punjab,Patiala,Wheat,PBW-343 (Punjab/Haryana),1065.7203171668532,31.60715850119864,6.61,39.5,73,2,5683,2.04,3796.46
Karnataka,Dharwad,Sugarcane,Co-0238 (UP/North India),1269.5317065433153,25.7650614005852,6.9,11.4,53,7,2784,4.47,81541.45
Maharashtra,Nagpur,Cotton,JKCH-1947 (Gujarat/MH),686.1221605054367,25.32704173251075,6.7,17.9,80,0,4047,2.86,1345.15
Uttar Pradesh,Kanpur,Rice,Sona-Masoori (South India),957.7333602074988,28.32748636691857,7.0,29.7,67,6,2904,3.4,4130.61
Karnataka,Dharwad,Rice,IR-64 (Andhra/Telangana),730.6310857507092,29.85111551877052,6.74,8.1,50,4,6121,3.76,4052.32
Uttar Pradesh,Varanasi,Wheat,HW-2045 (North India),845.0649241492808,26.39112383547871,6.35,23.6,55,3,2041,4.92,4018.45
Telangana,Nalgonda,Rice,IR-64 (Andhra/Telangana),1038.3181722377371,25.771840201738403,5.12,11.9,59,6,6566,3.8,5459.85
Maharashtra,Pune,Sugarcane,Co-0238 (UP/North India),680.2372787060276,25.610229391614023,6.46,13.7,68,2,5196,3.14,80163.59
Uttar Pradesh,Kanpur,Sugarcane,Co-0238 (UP/North India),1319.9479212709896,30.072127262160187,6.15,22.8,66,5,6605,4.59,81156.88
Maharashtra,Nagpur,Wheat,HD-2967 (North-West India),831.4429107363673,24.00240534822452,6.47,8.4,64,0,1704,1.71,3685.59
Uttar Pradesh,Lucknow,Rice,Sona-Masoori (South India),943.4790209584406,26.907621905802927,6.58,26.0,63,7,2671,1.08,5008.63
Telangana,Karimnagar,Cotton,JKCH-1947 (Gujarat/MH),835.3998199482079,30.74352349220034,6.79,28.0,69,0,3438,1.89,953.64
Andhra Pradesh,Krishna,Rice,Sona-Masoori (South India),748.1636003086362,33.202631678163094,6.66,25.4,67,5,5793,4.31,4825.99
Telangana,Khammam,Cotton,RCH-659 (South & Central India),626.1636090357708,26.73794155429044,5.83,11.1,56,5,6166,2.57,1738.14
Karnataka,Dharwad,Sugarcane,Co-94012 (South India),738.5089552188662,24.702827976724112,6.21,32.2,61,1,5367,3.97,79816.58
Uttar Pradesh,Agra,Cotton,JKCH-1947 (Gujarat/MH),1120.7774442867897,27.2275698104552,6.39,11.4,78,7,5157,0.92,2969.49
Telangana,Khammam,Sugarcane,Co-0238 (UP/North India),,25.02443130885084,,,52,4,1758,4.54,80902.36
Telangana,Warangal,Cotton,JKCH-1947 (Gujarat/MH),906.8306902160432,23.00887900224567,6.24,19.6,75,2,4091,1.03,1444.73
Uttar Pradesh,Kanpur,Maize,Kaveri-50 (South India),685.1649290751723,31.49834800390944,6.49,11.9,56,2,3900,0.63,4032.48
Andhra Pradesh,Nellore,Wheat,PBW-343 (Punjab/Haryana),774.47424897528,29.455418381116463,6.68,18.8,67,1,4490,3.43,3596.52
Punjab,Patiala,Cotton,Bollgard-II (Maharashtra),622.5886238698107,24.56061163391741,6.58,24.8,67,1,5636,3.83,690.48
Telangana,Karimnagar,Wheat,PBW-343 (Punjab/Haryana),1011.8398255476528,23.251254167716024,7.67,31.6,60,7,1655,3.57,3827.44
Uttar Pradesh,Kanpur,Wheat,HW-2045 (North India),1017.3897923382318,23.977036531192343,6.37,35.7,79,0,6146,4.13,3785.93
Maharashtra,Aurangabad,Maize,NK-6240 (Maharashtra/AP),,28.711622110414595,,,78,0,1780,2.4,4255.86
Maharashtra,Aurangabad,Rice,IR-64 (Andhra/Telangana),997.060661946336,25.062530724770888,7.01,39.4,70,3,5993,1.48,5850.59
Maharashtra,Aurangabad,Cotton,RCH-659 (South & Central India),474.9487813629834,29.34906062133421,6.95,27.2,70,7,3193,2.43,1572.31
Andhra Pradesh,Chittoor,Sugarcane,Co-86032 (Tamil Nadu/AP),1113.087839223618,25.10418625724061,7.62,16.1,66,2,2476,0.79,81155.13
Punjab,Patiala,Sugarcane,Co-0238 (UP/North India),770.5218374865525,28.343669669878576,6.45,12.4,79,6,2978,1.09,80457.4
Karnataka,Mysuru,Sugarcane,Co-86032 (Tamil Nadu/AP),1081.8299617551786,25.14022857790848,6.38,39.5,66,2,4951,2.61,80358.81
Punjab,Jalandhar,Sugarcane,Co-86032 (Tamil Nadu/AP),,18.423988354803903,,,76,7,6150,4.3,79750.06
Maharashtra,Nashik,Sugarcane,Co-94012 (South India),822.5294815890621,21.22009969321479,5.63,20.7,66,6,4612,0.63,80650.25
Telangana,Khammam,Wheat,HD-2967 (North-West India),826.6152894606083,27.8959698318799,6.95,13.3,68,4,4811,1.84,3923.1
Karnataka,Bengaluru Rural,Sugarcane,Co-94012 (South India),1071.9658317967544,28.968829329093243,6.27,29.3,66,0,5308,2.32,80459.91
Karnataka,Bengaluru Rural,Rice,MTU-1010 (AP/Telangana),1183.6201300210796,24.656582503535827,7.57,28.7,53,6,2270,3.76,5115.11
Maharashtra,Nagpur,Sugarcane,Co-86032 (Tamil Nadu/AP),914.5877510713692,24.89325527645716,5.48,23.6,66,6,2931,3.44,79982.54
Andhra Pradesh,Nellore,Sugarcane,Co-0238 (UP/North India),1017.7446259266952,30.45960530063433,7.6,16.8,78,3,4743,4.62,80473.5
Telangana,Khammam,Maize,Kaveri-50 (South India),445.17301783381913,25.073846104672533,5.4,27.2,54,3,3091,3.93,3490.79
Maharashtra,Nashik,Sugarcane,Co-0238 (UP/North India),861.3836202830059,29.00700435232917,5.09,8.2,56,7,2429,4.29,80793.92
Andhra Pradesh,Chittoor,Rice,MTU-1010 (AP/Telangana),1278.6592266450896,34.624874116635645,6.52,12.3,63,5,2410,2.7,5699.99
Karnataka,Bengaluru Rural,Maize,HQPM-1 (Karnataka/AP),911.5285265502612,27.32201617565624,5.66,23.2,56,5,3436,2.23,4345.66
Uttar Pradesh,Lucknow,Rice,IR-64 (Andhra/Telangana),,20.363635530481044,,,46,2,6357,0.76,4284.86
Telangana,Karimnagar,Rice,MTU-1010 (AP/Telangana),584.6362915862228,24.47236270777853,6.54,19.1,85,2,4670,4.46,3926.08
Telangana,Karimnagar,Wheat,PBW-343 (Punjab/Haryana),1175.2399087496428,34.35421608977208,5.76,20.6,49,4,1766,2.09,4602.05
Uttar Pradesh,Lucknow,Cotton,Bollgard-II (Maharashtra),763.6385002650641,27.328383192982827,6.7,9.8,65,3,6459,2.71,1681.81
Maharashtra,Nashik,Maize,HQPM-1 (Karnataka/AP),879.0997153522698,20.764291436329025,8.1,22.1,78,2,5677,2.5,4158.96
Karnataka,Bengaluru Rural,Wheat,PBW-343 (Punjab/Haryana),1279.380027265968,33.43365336504392,6.44,39.9,57,4,6632,4.87,4286.17
Andhra Pradesh,Guntur,Maize,NK-6240 (Maharashtra/AP),1080.6740023806549,24.481766694277944,7.84,28.6,67,2,5614,1.4,5365.21
Uttar Pradesh,Agra,Sugarcane,Co-94012 (South India),1202.3165277421847,22.46152581318336,6.61,30.4,55,6,2881,1.88,81359.22
Telangana,Nalgonda,Cotton,RCH-659 (South & Central India),1427.3611486606146,30.24610111452848,7.54,8.2,60,1,6045,3.7,2774.91
Uttar Pradesh,Kanpur,Rice,MTU-1010 (AP/Telangana),624.5845211551494,29.727026089535133,6.33,17.4,65,0,1936,0.65,4406.25
Punjab,Ludhiana,Cotton,Bollgard-II (Maharashtra),798.3844446926596,22.65996557961021,6.08,31.0,67,1,2511,1.86,1670.55
Punjab,Jalandhar,Maize,HQPM-1 (Karnataka/AP),,21.416368346822097,,,56,4,3309,1.74,4548.59
Karnataka,Dharwad,Rice,Sona-Masoori (South India),818.0263208717705,28.043167393506423,7.0,18.1,72,3,2318,2.45,4339.44
Maharashtra,Pune,Sugarcane,Co-0238 (UP/North India),843.4347822065621,30.146186627275263,6.46,20.4,74,3,2022,4.78,81198.4
Uttar Pradesh,Agra,Wheat,PBW-343 (Punjab/Haryana),636.1532457268781,31.204695902356136,6.62,28.6,65,6,3019,1.44,3473.43
Telangana,Warangal,Cotton,RCH-659 (South & Central India),548.8589357325895,22.542258277221865,7.24,35.2,75,4,3378,3.23,515.1
Maharashtra,Aurangabad,Sugarcane,Co-94012 (South India),714.49846608559,26.037127736564745,7.26,18.1,55,3,1734,2.16,80552.37
Karnataka,Dharwad,Maize,HQPM-1 (Karnataka/AP),464.0379708417755,27.916564421188912,5.58,8.6,39,5,6479,0.54,3384.94
Andhra Pradesh,Nellore,Sugarcane,Co-86032 (Tamil Nadu/AP),1034.515430045452,27.35411719163537,7.71,18.0,69,4,3722,4.13,80620.62
Maharashtra,Aurangabad,Maize,HQPM-1 (Karnataka/AP),811.489822264744,25.492393794860845,6.56,19.1,71,5,6678,1.86,4754.69
Maharashtra,Nashik,Wheat,PBW-343 (Punjab/Haryana),874.1863099627382,21.74883916096041,6.39,9.9,62,3,4770,1.13,3608.81
Telangana,Warangal,Maize,Kaveri-50 (South India),1220.4109487509422,29.45191871253793,5.83,34.0,53,3,4673,1.81,5210.79
Punjab,Patiala,Cotton,Bollgard-II (Maharashtra),1146.8336291472756,27.23417141725117,6.31,12.7,65,4,6741,3.56,2256.75
